med_id,principio_activo,reglas_pediatria,estado_pediatria,nivel_uso,escenarios
MED-0574,TIOGUANINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0575,TIOTROPIO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0576,TIROSINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0577,TIZANIDINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0578,TOFACITINIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0579,TOLTERODINA L-TARTRATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0580,TOPIRAMATO,2,HABILITADO – ESPECIALISTA/MONITORIZACIÓN,ESPECIALISTA/MONITORIZACIÓN,"Epilepsia – terapia adyuvante, mantenimiento | Prevención de migraña – objetivo"
MED-0581,TRAMADOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0582,TRAMETINIB DIMETILSULFOXIDO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0583,TRANDOLAPRIL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0584,TRAZODONA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0585,TREONINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0586,TRETINOINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0587,TRIAZOLAM,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0588,TRIENTINA CLORHIDARTO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0589,TRIFLUOPERAZINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0590,TRIMEBUTINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0591,TRIMETAZIDINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0592,TRIMETOPRIM,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0593,TRIMIPRAMINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0594,TRIPTOFANO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0595,ULIPRISTAL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0596,UMECLIDINIO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0597,VALACICLOVIR,2,HABILITADO,GENERAL,Herpes labial – tratamiento de 1 día | Varicela – inmunocompetente
MED-0598,VALERATO DE ESTRADIOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0599,VALGANCICLOVIR,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0600,VALSARTAN,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0601,VANCOMICINA,4,HABILITADO,GENERAL,Dosis inicial
MED-0602,VARDENAFIL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0603,VARENICLINA TARTRATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0604,VELPATASVIR,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0605,VENETOCLAX,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0606,VENLAFAXINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0607,VERAPAMILO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0608,VERICIGUAT,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0609,VIGABATRINA,2,HABILITADO – ESPECIALISTA/MONITORIZACIÓN,ESPECIALISTA/MONITORIZACIÓN,Espasmos infantiles – dosis máxima | Espasmos infantiles – inicio
MED-0610,VILANTEROL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0611,VILDAGLIPTINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0612,VORICONAZOL,2,HABILITADO,GENERAL,Dosis empírica inicial si PGx desconocido
MED-0613,VORTIOXETINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0614,WARFARINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0615,ZIDOVUDINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0616,ZOFENOPRIL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0617,ZOLPIDEM,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0618,ZOPLICONA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
